0:一	-1:一
1:投げ出されては	2:這い上り
2:這い上り	4:投げ出され
3:這い上っては	4:投げ出され
4:投げ出され	10:記憶している
5:何でも	9:繰り返したのを
6:同じ	7:事を
7:事を	9:繰り返したのを
8:四五遍	9:繰り返したのを
9:繰り返したのを	10:記憶している
10:記憶している	-1:記憶している

0:その	1:時に
1:時に	3:云う
2:おさんと	3:云う
3:云う	4:者は
4:者は	6:いやになった
5:つくづく	6:いやになった
6:いやになった	-1:いやになった

0:この間	3:偸んで
1:おさんの	2:三馬を
2:三馬を	3:偸んで
3:偸んで	7:やってから
4:この	5:返報を
5:返報を	6:して
6:して	7:やってから
7:やってから	11:下りた
8:やっと	11:下りた
9:胸の	10:痞が
10:痞が	11:下りた
11:下りた	-1:下りた

0:吾輩が	2:つまみ出されようとした
1:最後に	2:つまみ出されようとした
2:つまみ出されようとした	3:ときに
3:ときに	10:出て来た
4:この	5:家の
5:家の	6:主人が
6:主人が	10:出て来た
7:騒々しい	8:何だと
8:何だと	9:いいながら
9:いいながら	10:出て来た
10:出て来た	-1:出て来た

0:下女は	14:困りますと
1:吾輩を	2:ぶら下げて
2:ぶら下げて	11:出しても
3:主人の	4:方へ
4:方へ	5:向けて
5:向けて	11:出しても
6:この	7:宿なしの
7:宿なしの	8:小猫が
8:小猫が	10:出しても
9:いくら	10:出しても
10:出しても	11:出しても
11:出しても	14:困りますと
12:御台所へ	13:上って来て
13:上って来て	14:困りますと
14:困りますと	15:いう
15:いう	-1:いう

0:主人は	10:おったが
1:鼻の	2:下の
2:下の	3:黒い
3:黒い	4:毛を
4:毛を	5:撚りながら
5:撚りながら	9:眺めて
6:吾輩の	7:顔を
7:顔を	9:眺めて
8:しばらく	9:眺めて
9:眺めて	10:おったが
10:おったが	16:這入ってしまった
11:やがて	12:そんなら
12:そんなら	14:置いてやれといったまま
13:内へ	14:置いてやれといったまま
14:置いてやれといったまま	16:這入ってしまった
15:奥へ	16:這入ってしまった
16:這入ってしまった	-1:這入ってしまった

0:主人は	5:見えた
1:あまり	3:聞かぬ
2:口を	3:聞かぬ
3:聞かぬ	4:人と
4:人と	5:見えた
5:見えた	-1:見えた

0:下女は	4:抛り出した
1:口惜しそうに	4:抛り出した
2:吾輩を	4:抛り出した
3:台所へ	4:抛り出した
4:抛り出した	-1:抛り出した

0:かくして	9:したのである
1:吾輩は	9:したのである
2:ついに	9:したのである
3:この	4:家を
4:家を	7:極める
5:自分の	6:住家と
6:住家と	7:極める
7:極める	8:事に
8:事に	9:したのである
9:したのである	-1:したのである

0:吾輩の	1:主人は
1:主人は	7:ない
2:滅多に	5:合せる
3:吾輩と	5:合せる
4:顔を	5:合せる
5:合せる	6:事が
6:事が	7:ない
7:ない	-1:ない

0:職業は	1:教師だそうだ
1:教師だそうだ	-1:教師だそうだ

0:学校から	1:帰ると
1:帰ると	3:這入った
2:終日書斎に	3:這入った
3:這入った	4:ぎりほとんど出て来る
4:ぎりほとんど出て来る	5:事が
5:事が	6:ない
6:ない	-1:ない

0:家の	1:ものは
1:ものは	3:勉強家だと
2:大変な	3:勉強家だと
3:勉強家だと	4:思っている
4:思っている	-1:思っている

0:当人も	2:ごとく
1:勉強家であるかの	2:ごとく
2:ごとく	3:見せている
3:見せている	-1:見せている

0:しかし	5:勤勉家ではない
1:実際は	5:勤勉家ではない
2:うちの	3:ものが
3:ものが	4:いうような
4:いうような	5:勤勉家ではない
5:勤勉家ではない	-1:勤勉家ではない

0:吾輩は	6:見るが
1:時々	5:覗いて
2:忍び足に	5:覗いて
3:彼の	4:書斎を
4:書斎を	5:覗いて
5:覗いて	6:見るが
6:見るが	12:ある
7:彼は	12:ある
8:よく	10:している
9:昼寝を	10:している
10:している	11:事が
11:事が	12:ある
12:ある	-1:ある

0:時々	1:読みかけてある
1:読みかけてある	2:本の
2:本の	3:上に
3:上に	5:たらしている
4:涎を	5:たらしている
5:たらしている	-1:たらしている

0:彼は	11:あらわしている
1:胃弱で	6:帯びて
2:皮膚の	3:色が
3:色が	6:帯びて
4:淡	5:黄色を
5:黄色を	6:帯びて
6:帯びて	11:あらわしている
7:弾力の	8:ない
8:ない	10:徴候を
9:不活溌な	10:徴候を
10:徴候を	11:あらわしている
11:あらわしている	-1:あらわしている

0:その	1:癖に
1:癖に	3:食う
2:大飯を	3:食う
3:食う	-1:食う

0:大飯を	1:食った
1:食った	2:後で
2:後で	4:飲む
3:タカジヤスターゼを	4:飲む
4:飲む	-1:飲む

0:飲んだ	1:後で
1:後で	3:ひろげる
2:書物を	3:ひろげる
3:ひろげる	-1:ひろげる

0:二三ページ	1:読むと
1:読むと	2:眠くなる
2:眠くなる	-1:眠くなる

0:涎を	3:垂らす
1:本の	2:上へ
2:上へ	3:垂らす
3:垂らす	-1:垂らす

0:これが	3:繰り返す
1:彼の	2:毎夜
2:毎夜	3:繰り返す
3:繰り返す	4:日課である
4:日課である	-1:日課である

0:吾輩は	5:ある
1:猫ながら	3:考える
2:時々	3:考える
3:考える	4:事が
4:事が	5:ある
5:ある	-1:ある

0:教師という	1:ものは
1:ものは	4:ものだ
2:実に	3:楽な
3:楽な	4:ものだ
4:ものだ	-1:ものだ

0:人間と	1:生れたら
1:生れたら	3:なるに
2:教師と	3:なるに
3:なるに	4:限る
4:限る	-1:限る

0:こんなに	1:寝ていて
1:寝ていて	2:勤まる
2:勤まる	3:ものなら
3:ものなら	7:ないと
4:猫にでも	5:出来ぬ
5:出来ぬ	6:事は
6:事は	7:ないと
7:ないと	-1:ないと

0:それでも	2:云わせると
1:主人に	2:云わせると
2:云わせると	6:ないそうで
3:教師ほど	4:つらい
4:つらい	5:ものは
5:ものは	6:ないそうで
6:ないそうで	14:鳴らしている
7:彼は	14:鳴らしている
8:友達が	9:来る
9:来る	10:度に
10:度に	14:鳴らしている
11:何とか	14:鳴らしている
12:かんとか	13:不平を
13:不平を	14:鳴らしている
14:鳴らしている	-1:鳴らしている

0:吾輩が	3:住み込んだ
1:この	2:家へ
2:家へ	3:住み込んだ
3:住み込んだ	4:当時は
4:当時は	8:不人望であった
5:主人以外の	6:ものには
6:ものには	8:不人望であった
7:はなはだ	8:不人望であった
8:不人望であった	-1:不人望であった

0:どこへ	1:行っても
1:行っても	2:跳ね付けられて
2:跳ね付けられて	4:してくれ
3:相手に	4:してくれ
4:してくれ	6:なかった
5:手が	6:なかった
6:なかった	-1:なかった

0:いかに	1:珍重されなかったかは
1:珍重されなかったかは	6:分る
2:今日に	3:至るまで
